tag,algo,precision,recall,auprc,prevalence
L1,enet,0.9302325581395349,0.5882352941176471,0.8873031424096209,0.7195767195767195
L1,enet,0.9294117647058824,0.5808823529411765,0.8873031424096209,0.7195767195767195
L1,enet,0.9404761904761905,0.5808823529411765,0.8873031424096209,0.7195767195767195
L1,enet,0.9397590361445783,0.5735294117647058,0.8873031424096209,0.7195767195767195
L1,enet,0.9390243902439024,0.5661764705882353,0.8873031424096209,0.7195767195767195
L1,enet,0.9382716049382716,0.5588235294117647,0.8873031424096209,0.7195767195767195
L1,enet,0.95,0.5588235294117647,0.8873031424096209,0.7195767195767195
L1,enet,0.9493670886075949,0.5514705882352942,0.8873031424096209,0.7195767195767195
L1,enet,0.9487179487179487,0.5441176470588235,0.8873031424096209,0.7195767195767195
L1,enet,0.948051948051948,0.5367647058823529,0.8873031424096209,0.7195767195767195
L1,enet,0.9473684210526315,0.5294117647058824,0.8873031424096209,0.7195767195767195
L1,enet,0.9466666666666667,0.5220588235294118,0.8873031424096209,0.7195767195767195
L1,enet,0.9459459459459459,0.5147058823529411,0.8873031424096209,0.7195767195767195
L1,enet,0.9452054794520548,0.5073529411764706,0.8873031424096209,0.7195767195767195
L1,enet,0.9444444444444444,0.5,0.8873031424096209,0.7195767195767195
L1,enet,0.9436619718309859,0.49264705882352944,0.8873031424096209,0.7195767195767195
L1,enet,0.9428571428571428,0.4852941176470588,0.8873031424096209,0.7195767195767195
L1,enet,0.9420289855072463,0.47794117647058826,0.8873031424096209,0.7195767195767195
L1,enet,0.9558823529411765,0.47794117647058826,0.8873031424096209,0.7195767195767195
L1,enet,0.9552238805970149,0.47058823529411764,0.8873031424096209,0.7195767195767195
L1,enet,0.9545454545454546,0.4632352941176471,0.8873031424096209,0.7195767195767195
L1,enet,0.9538461538461539,0.45588235294117646,0.8873031424096209,0.7195767195767195
L1,enet,0.953125,0.4485294117647059,0.8873031424096209,0.7195767195767195
L1,enet,0.9523809523809523,0.4411764705882353,0.8873031424096209,0.7195767195767195
L1,enet,0.9516129032258065,0.4338235294117647,0.8873031424096209,0.7195767195767195
L1,enet,0.9508196721311475,0.4264705882352941,0.8873031424096209,0.7195767195767195
L1,enet,0.95,0.41911764705882354,0.8873031424096209,0.7195767195767195
L1,enet,0.9491525423728814,0.4117647058823529,0.8873031424096209,0.7195767195767195
L1,enet,0.9482758620689655,0.40441176470588236,0.8873031424096209,0.7195767195767195
L1,enet,0.9473684210526315,0.39705882352941174,0.8873031424096209,0.7195767195767195
L1,enet,0.9464285714285714,0.3897058823529412,0.8873031424096209,0.7195767195767195
L1,enet,0.9454545454545454,0.38235294117647056,0.8873031424096209,0.7195767195767195
L1,enet,0.9444444444444444,0.375,0.8873031424096209,0.7195767195767195
L1,enet,0.9433962264150944,0.36764705882352944,0.8873031424096209,0.7195767195767195
L1,enet,0.9423076923076923,0.3602941176470588,0.8873031424096209,0.7195767195767195
L1,enet,0.9411764705882353,0.35294117647058826,0.8873031424096209,0.7195767195767195
L1,enet,0.94,0.34558823529411764,0.8873031424096209,0.7195767195767195
L1,enet,0.9387755102040817,0.3382352941176471,0.8873031424096209,0.7195767195767195
L1,enet,0.9375,0.33088235294117646,0.8873031424096209,0.7195767195767195
L1,enet,0.9361702127659575,0.3235294117647059,0.8873031424096209,0.7195767195767195
L1,enet,0.9347826086956522,0.3161764705882353,0.8873031424096209,0.7195767195767195
L1,enet,0.9333333333333333,0.3088235294117647,0.8873031424096209,0.7195767195767195
L1,enet,0.9318181818181818,0.3014705882352941,0.8873031424096209,0.7195767195767195
L1,enet,0.9302325581395349,0.29411764705882354,0.8873031424096209,0.7195767195767195
L1,enet,0.9285714285714286,0.2867647058823529,0.8873031424096209,0.7195767195767195
L1,enet,0.926829268292683,0.27941176470588236,0.8873031424096209,0.7195767195767195
L1,enet,0.925,0.27205882352941174,0.8873031424096209,0.7195767195767195
L1,enet,0.9230769230769231,0.2647058823529412,0.8873031424096209,0.7195767195767195
L1,enet,0.9210526315789473,0.25735294117647056,0.8873031424096209,0.7195767195767195
