tag,algo,repeat,fold,model__estimator__depth,model__estimator__iterations,model__estimator__l2_leaf_reg,model__estimator__learning_rate,model__n_features_to_select,model__estimator__class_weight,model__estimator__max_depth,model__estimator__max_features,model__estimator__min_samples_leaf,model__estimator__colsample_bytree,model__estimator__min_child_weight,model__estimator__n_estimators,model__estimator__reg_lambda,model__estimator__subsample,model__C,model__l1_ratio
L5,cat,1,3,3.0,120.0,4.404808835342941,0.020934888300215827,18.0,,,,,,,,,,,
L5,cat,1,4,2.0,120.0,2.5471913206124883,0.13538923194123734,6.0,,,,,,,,,,,
L5,cat,2,0,4.0,60.0,6.8214613566864974,0.0750727224492485,6.0,,,,,,,,,,,
L5,cat,2,1,3.0,60.0,3.263488681282715,0.03760394967337601,12.0,,,,,,,,,,,
L5,cat,2,2,3.0,120.0,11.506847638158005,0.048328859220661345,12.0,,,,,,,,,,,
L5,cat,2,3,3.0,60.0,1.897726338808745,0.27933812433636174,18.0,,,,,,,,,,,
L5,cat,2,4,4.0,120.0,15.426021080163201,0.07148044178215769,18.0,,,,,,,,,,,
L4r,cat,0,0,2.0,120.0,23.29262676497442,0.024242359249562032,12.0,,,,,,,,,,,
L4r,cat,0,1,2.0,60.0,15.233399158649279,0.2752922411234819,12.0,,,,,,,,,,,
L4r,cat,0,2,2.0,120.0,1.0921849507601296,0.08861010094922658,18.0,,,,,,,,,,,
L4r,cat,0,3,3.0,120.0,4.4217428747184275,0.021041629280343026,12.0,,,,,,,,,,,
L4r,cat,0,4,3.0,60.0,8.609209077893942,0.02028138574156088,18.0,,,,,,,,,,,
L4r,cat,1,0,2.0,60.0,1.3391207886672232,0.20281770664160428,12.0,,,,,,,,,,,
L4r,cat,1,1,2.0,60.0,4.381644531539583,0.1873069133792841,6.0,,,,,,,,,,,
L4r,cat,1,2,4.0,120.0,21.816586796722184,0.23711773247719345,18.0,,,,,,,,,,,
L4r,cat,1,3,3.0,60.0,5.481316603008301,0.0893562454296289,12.0,,,,,,,,,,,
L4r,cat,1,4,4.0,120.0,18.414004269672056,0.15100192463184714,18.0,,,,,,,,,,,
L4r,cat,2,0,4.0,60.0,6.8214613566864974,0.0750727224492485,6.0,,,,,,,,,,,
L4r,cat,2,1,3.0,60.0,3.263488681282715,0.03760394967337601,12.0,,,,,,,,,,,
L4r,cat,2,2,3.0,120.0,11.506847638158005,0.048328859220661345,12.0,,,,,,,,,,,
L4r,cat,2,3,3.0,120.0,13.151641852758221,0.2659396646649453,12.0,,,,,,,,,,,
L4r,cat,2,4,4.0,60.0,8.880515368933901,0.1881403699439609,18.0,,,,,,,,,,,
L1,rf,0,0,,,,,6.0,,,0.5,10.0,,,,,,,
L1,rf,0,1,,,,,9.0,balanced,4.0,sqrt,9.0,,,,,,,
L1,rf,0,2,,,,,9.0,,4.0,0.33,7.0,,,,,,,
L1,rf,0,3,,,,,9.0,balanced,3.0,0.33,12.0,,,,,,,
L1,rf,0,4,,,,,6.0,,2.0,0.33,4.0,,,,,,,
L1,rf,1,0,,,,,6.0,,6.0,sqrt,12.0,,,,,,,
L1,rf,1,1,,,,,6.0,balanced,,0.5,10.0,,,,,,,
L1,rf,1,2,,,,,6.0,,2.0,0.33,8.0,,,,,,,
L1,rf,1,3,,,,,9.0,balanced,3.0,0.33,6.0,,,,,,,
L1,rf,1,4,,,,,9.0,,6.0,0.33,5.0,,,,,,,
L1,rf,2,0,,,,,9.0,,2.0,sqrt,12.0,,,,,,,
L1,rf,2,1,,,,,9.0,balanced,4.0,0.33,2.0,,,,,,,
L1,rf,2,2,,,,,6.0,balanced,4.0,sqrt,11.0,,,,,,,
L1,rf,2,3,,,,,6.0,balanced,3.0,sqrt,4.0,,,,,,,
L1,rf,2,4,,,,,6.0,balanced,4.0,0.33,6.0,,,,,,,
L2,rf,0,0,,,,,6.0,,3.0,sqrt,5.0,,,,,,,
L2,rf,0,1,,,,,6.0,,4.0,sqrt,12.0,,,,,,,
L2,rf,0,2,,,,,6.0,,,0.33,10.0,,,,,,,
L2,rf,0,3,,,,,6.0,,2.0,0.33,5.0,,,,,,,
L2,rf,0,4,,,,,14.0,,3.0,sqrt,6.0,,,,,,,
L2,rf,1,0,,,,,12.0,,3.0,0.33,10.0,,,,,,,
