tag,algo,imputer,repeat,fold,auc,inner_auc,n_train,n_test,seconds,kind
L5,cat,mean,0,3,0.8922558922558922,0.8891564454064455,151,38,15.399177312850952,sens
L5,cat,mean,0,4,0.9222222222222222,0.8828162578162578,152,37,13.001190185546875,sens
L5,cat,knn,0,0,0.925,0.9000841750841752,151,38,14.33444619178772,sens
L5,cat,knn,0,1,0.9191919191919191,0.9101641414141415,151,38,15.37260389328003,sens
L5,cat,knn,0,2,0.8114478114478115,0.9169101731601732,151,38,12.71268367767334,sens
L5,cat,knn,0,3,0.9057239057239057,0.8847582972582972,151,38,15.749202251434326,sens
L5,cat,knn,0,4,0.7555555555555555,0.8663630351130351,152,37,14.238790512084961,sens
L5,cat,iterative,0,0,0.9107142857142856,0.9053872053872053,151,38,23.95954942703247,sens
L5,cat,iterative,0,1,0.8922558922558922,0.9057359307359307,151,38,22.36799716949463,sens
L5,cat,iterative,0,2,0.8114478114478115,0.9058651996151996,151,38,22.11560606956482,sens
L5,cat,iterative,0,3,0.9124579124579124,0.8883958633958634,151,38,31.257994651794434,sens
L5,cat,iterative,0,4,0.9629629629629629,0.8855970418470418,152,37,24.180479526519775,sens
L5,cat,locf,0,0,0.9214285714285715,0.9101851851851852,151,38,15.336636066436768,sens
L5,cat,locf,0,1,0.9057239057239057,0.9032136844636844,151,38,16.10283350944519,sens
L5,cat,locf,0,2,0.8249158249158248,0.9202050264550264,151,38,13.040026903152466,sens
L5,cat,locf,0,3,0.8956228956228955,0.8722763347763348,151,38,17.872581958770752,sens
L5,cat,locf,0,4,0.9444444444444444,0.8763377825877825,152,37,14.856181859970093,sens
L1,rf,median,0,0,0.7857142857142858,0.7941919191919191,151,38,6.424339056015015,cv
L1,rf,median,0,1,0.8148148148148148,0.790410052910053,151,38,5.664604663848877,cv
L1,rf,median,0,2,0.6835016835016835,0.8297047859547859,151,38,6.780761241912842,cv
L1,rf,median,0,3,0.8148148148148149,0.7891023328523329,151,38,7.41798734664917,cv
L1,rf,median,0,4,0.8555555555555555,0.7940987253487253,152,37,7.073565244674683,cv
L1,rf,median,1,0,0.8678571428571429,0.7918350168350168,151,38,6.702354669570923,cv
L1,rf,median,1,1,0.8686868686868686,0.7761032948532949,151,38,7.7996275424957275,cv
L1,rf,median,1,2,0.8720538720538721,0.7898508898508898,151,38,7.349757432937622,cv
L1,rf,median,1,3,0.7609427609427609,0.7916486291486291,151,38,7.656848669052124,cv
L1,rf,median,1,4,0.6666666666666667,0.8472552910052911,152,37,6.278098106384277,cv
L1,rf,median,2,0,0.7928571428571429,0.8037037037037036,151,38,7.156288146972656,cv
