threshold,model,treat_all,treat_none,tag
0.4,0.1675485008818342,-0.199294532627866,0.0,L4
0.41,0.1691328132006098,-0.21962155860460936,0.0,L4
0.42,0.167122787812443,-0.24064951651158534,0.0,L4
0.43,0.15975122992666851,-0.2624152975030167,0.0,L4
0.44,0.15230536659108088,-0.2849584278155706,0.0,L4
0.45,0.15007215007215008,-0.3083213083213083,0.0,L4
0.46,0.1477562218302959,-0.33254948069762885,0.0,L4
0.47,0.1453529000698812,-0.35769192372965947,0.0,L4
0.48,0.14285714285714285,-0.3838013838013838,0.0,L4
0.49,0.13497250752152712,-0.41093474426807747,0.0,L4
0.5,0.12698412698412698,-0.43915343915343913,0.0,L4
0.51,0.12417665478889968,-0.46852391750350936,0.0,L4
0.52,0.1212522045855379,-0.49911816578483253,0.0,L4
0.53,0.1188787571766295,-0.531014296971744,0.0,L4
0.54,0.12215320910973083,-0.5642972164711295,0.0,L4
0.55,0.11405055849500291,-0.5990593768371548,0.0,L4
0.56,0.11784511784511782,-0.6354016354016354,0.0,L4
0.57,0.12206226159714532,-0.6734342315737663,0.0,L4
0.58,0.11942554799697658,-0.713277903754094,0.0,L4
0.59,0.11666021422118984,-0.7550651696993158,0.0,L4
0.6,0.11375661375661376,-0.7989417989417986,0.0,L4
